cao_code,name,description,nfq_level,duration,tags,course_url,college_id,points,entry_requirements,career_info,created_at,source_page
,Accounting Technicians Ireland - ATI,,8,,Business,https://www.qualifax.ie/course/56496,1,0,,,2025-01-25T15:00:00,7
,Accounting Technicians Ireland - Cork,,8,,Business,https://www.qualifax.ie/course/27062,1,0,,,2025-01-25T15:00:00,7
,Accounting with Business,,8,,Business,https://www.qualifax.ie/course/222684,1,0,,,2025-01-25T15:00:00,7
,Accounting with Computing,,8,,Business,https://www.qualifax.ie/course/218442,1,0,,,2025-01-25T15:00:00,7
,Accounting with Education,,8,,Business,https://www.qualifax.ie/course/218443,1,0,,,2025-01-25T15:00:00,7
,Accounting with Finance (with Placement) - Athlone,,8,,Business,https://www.qualifax.ie/course/113912,1,0,,,2025-01-25T15:00:00,7
,"Accounting, Finance & Analytics",,8,,Business,https://www.qualifax.ie/course/222265,1,0,,,2025-01-25T15:00:00,7
,Accounting: International Accounting & Analytics - Pathway A,,8,,Business,https://www.qualifax.ie/course/101701,1,0,,,2025-01-25T15:00:00,7
,Accounting: International Accounting & Analytics - Pathway B,,8,,Business,https://www.qualifax.ie/course/101708,1,0,,,2025-01-25T15:00:00,7
,Accounts Administration - Business Administration,,8,,Business,https://www.qualifax.ie/course/99079,1,0,,,2025-01-25T15:00:00,7
,Accounts Administrator - Business Administration,,8,,Business,https://www.qualifax.ie/course/222765,1,0,,,2025-01-25T15:00:00,7
,Acting - Advanced for Stage & Screen,,8,,General,https://www.qualifax.ie/course/21738,1,0,,,2025-01-25T15:00:00,7
,Acting - The Lir Academy,,8,,General,https://www.qualifax.ie/course/56636,1,0,,,2025-01-25T15:00:00,8
,Acting & Theatre - The Lir Academy,,8,,General,https://www.qualifax.ie/course/87616,1,0,,,2025-01-25T15:00:00,8
,Acting & Theatre Performance,,8,,General,https://www.qualifax.ie/course/28414,1,0,,,2025-01-25T15:00:00,8
,Acting for Stage & Screen,,8,,General,https://www.qualifax.ie/course/76376,1,0,,,2025-01-25T15:00:00,8
,Action Learning - Letterkenny,,8,,General,https://www.qualifax.ie/course/222449,1,0,,,2025-01-25T15:00:00,8
,Active Language Learning,,8,,General,https://www.qualifax.ie/providers/active-language-learning,1,0,,,2025-01-25T15:00:00,8
,Activities of Living Patient Care,,8,,Health,https://www.qualifax.ie/course/102440,1,0,,,2025-01-25T15:00:00,8
,Activities of Living Patient Care,,8,,Health,https://www.qualifax.ie/course/223581,1,0,,,2025-01-25T15:00:00,8
,Activities of Living Patient Care,,8,,Health,https://www.qualifax.ie/course/223798,1,0,,,2025-01-25T15:00:00,8
,Activities of Living Patient Care,,8,,Health,https://www.qualifax.ie/course/112197,1,0,,,2025-01-25T15:00:00,8
,Activities of Living Patient Care - Healthcare,,8,,Health,https://www.qualifax.ie/course/223178,1,0,,,2025-01-25T15:00:00,8
,Activities of Living Patient Care - Online,,8,,Health,https://www.qualifax.ie/course/87896,1,0,,,2025-01-25T15:00:00,8
,Actor Training - Advanced (Classical Acting),,8,,General,https://www.qualifax.ie/course/1678,1,0,,,2025-01-25T15:00:00,8
,Actor Training Advanced,,8,,General,https://www.qualifax.ie/course/219561,1,0,,,2025-01-25T15:00:00,8
,Actuarial & Financial Mathematics - Common Entry,,8,,General,https://www.qualifax.ie/course/31054,1,0,,,2025-01-25T15:00:00,8
,Actuarial & Financial Studies,,8,,General,https://www.qualifax.ie/course/2287,1,0,,,2025-01-25T15:00:00,8
,Actuarial Mathematics,,8,,General,https://www.qualifax.ie/course/2285,1,0,,,2025-01-25T15:00:00,8
,Actuarial Science,,8,,STEM,https://www.qualifax.ie/course/112938,1,0,,,2025-01-25T15:00:00,8
,Actuarial Science,,8,,STEM,https://www.qualifax.ie/course/66852,1,0,,,2025-01-25T15:00:00,8
,Actuarial Science,,8,,STEM,https://www.qualifax.ie/course/66834,1,0,,,2025-01-25T15:00:00,8
,Actuarial Science & Risk Management,,8,,STEM,https://www.qualifax.ie/course/31605,1,0,,,2025-01-25T15:00:00,8
,Addiction Counselling - Blended,,8,,General,https://www.qualifax.ie/course/104754,1,0,,,2025-01-25T15:00:00,8
,Addiction Counselling - Gambling,,8,,General,https://www.qualifax.ie/course/218518,1,0,,,2025-01-25T15:00:00,8
,Addiction Counselling & Psychotherapy,,8,,Health,https://www.qualifax.ie/course/99371,1,0,,,2025-01-25T15:00:00,8
,Addiction Recovery,,8,,General,https://www.qualifax.ie/course/218520,1,0,,,2025-01-25T15:00:00,8
,Addiction Recovery,,8,,General,https://www.qualifax.ie/course/108116,1,0,,,2025-01-25T15:00:00,9
,Addiction Studies,,8,,General,https://www.qualifax.ie/course/19745,1,0,,,2025-01-25T15:00:00,9
,Addiction Studies,,8,,General,https://www.qualifax.ie/course/113496,1,0,,,2025-01-25T15:00:00,9
,Addiction Studies,,8,,General,https://www.qualifax.ie/course/222147,1,0,,,2025-01-25T15:00:00,9
,Additional Needs,,8,,General,https://www.qualifax.ie/resources/additional-needs,1,0,,,2025-01-25T15:00:00,9
,Additive Manufacturing - Introduction to - Waterford,,8,,General,https://www.qualifax.ie/course/220120,1,0,,,2025-01-25T15:00:00,9
